Date,Rainfall_total
2019-03-14,10.27
2019-03-15,1.86
2019-03-16,7.18
2019-03-17,2.35
2019-03-18,2.2
2019-03-19,0
2019-03-20,0
2019-03-21,0.07
2019-03-22,0
2019-03-23,0.1
2019-03-24,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,0
2019-03-30,0
2019-03-31,0
2019-04-01,0
2019-04-02,4.6
2019-04-03,2.94
2019-04-04,6.8
2019-04-05,13.49
2019-04-06,0.42
2019-04-07,0
2019-04-08,0.12
2019-04-09,1.42
2019-04-10,0
2019-04-11,0
2019-04-12,0
2019-04-13,0
2019-04-14,0.11
2019-04-15,2.65
2019-04-16,2.14
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,0
2019-04-22,0
2019-04-23,0
2019-04-24,6.13
2019-04-25,3.44
2019-04-26,1.95
2019-04-27,0.65
2019-04-28,1.89
2019-04-29,1.09
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,0
2019-05-04,0.39
2019-05-05,0
2019-05-06,0
2019-05-07,1.2
2019-05-08,28.63
2019-05-09,0.23
2019-05-10,1.22
2019-05-11,0
2019-05-12,0
2019-05-13,0
2019-05-14,0
2019-05-15,0
2019-05-16,0
2019-05-17,0.85
2019-05-18,0.76
2019-05-19,0
2019-05-20,0
2019-05-21,0
2019-05-22,0
2019-05-23,0
2019-05-24,0
2019-05-25,0
2019-05-26,0.4
2019-05-27,0.35
2019-05-28,2.02
2019-05-29,1.57
2019-05-30,0
2019-05-31,0
2019-06-01,0
2019-06-02,0.86
2019-06-03,0.58
2019-06-04,2.21
2019-06-05,3.17
2019-06-06,0
2019-06-07,19.67
2019-06-08,5.27
2019-06-09,3.12
2019-06-10,6.67
2019-06-11,11.39
2019-06-12,0.99
2019-06-13,9.02
2019-06-14,0.25
2019-06-15,0.89
2019-06-16,2.39
2019-06-17,0
2019-06-18,4.02
2019-06-19,3.49
2019-06-20,1.15
2019-06-21,1.02
2019-06-22,0
2019-06-23,1.77
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,1.22
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,2.06
2019-07-19,10.73
2019-07-20,0.22
2019-07-21,0
2019-07-22,0
2019-07-23,1.14
2019-07-24,0.08
2019-07-25,0
2019-07-26,0
2019-07-27,0.17
2019-07-28,0.05
2019-07-29,3.61
2019-07-30,32.26
2019-07-31,1.58
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,0.11
2019-08-05,1.78
2019-08-06,2.3
2019-08-07,0.9
2019-08-08,4.67
2019-08-09,16.65
2019-08-10,0.92
2019-08-11,1.15
2019-08-12,0.78
2019-08-13,6.57
2019-08-14,1.59
2019-08-15,0.28
2019-08-16,9.94
2019-08-17,0.11
2019-08-18,0.96
2019-08-19,4.14
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-24,0
2019-08-25,0.1
2019-08-26,0
2019-08-27,1.33
2019-08-28,7.2
2019-08-29,0
2019-08-30,0
2019-08-31,0.99
2019-09-01,0.54
2019-09-02,0.05
2019-09-03,0.96
2019-09-04,2.01
2019-09-05,0.21
2019-09-06,2.3
2019-09-07,0.1
2019-09-08,0
2019-09-09,15.58
2019-09-10,0.06
2019-09-11,0.44
2019-09-12,0.62
2019-09-13,0.14
2019-09-14,0
2019-09-15,0.15
2019-09-16,0.15
2019-09-17,0.1
2019-09-18,0
2019-09-19,0
2019-09-20,0.11
2019-09-21,0
2019-09-22,6.17
2019-09-23,1.79
2019-09-24,13.98
2019-09-25,11.97
2019-09-26,2.33
2019-09-27,7.16
2019-09-28,14.3
2019-09-29,4.33
2019-09-30,3.54
2019-10-01,0.86
2019-10-02,0.2
2019-10-03,1.09
2019-10-04,0.8
2019-10-05,1.93
2019-10-06,1.16
2019-10-07,7.21
2019-10-08,0.51
2019-10-09,5.98
2019-10-10,2.16
2019-10-11,18.13
2019-10-12,4.11
2019-10-13,7.98
2019-10-14,5.23
2019-10-15,0.6
2019-10-16,0.26
2019-10-17,1.61
2019-10-18,5.17
2019-10-19,0.51
2019-10-20,1.3
2019-10-21,0.07
2019-10-22,0
2019-10-23,0
2019-10-24,1.8
2019-10-25,9.81
2019-10-26,11.63
2019-10-27,0
2019-10-28,0
2019-10-29,3.65
2019-10-30,15.97
2019-10-31,5.83
2019-11-01,4.66
2019-11-02,21.25
2019-11-03,3.63
2019-11-04,3.14
2019-11-05,0.22
2019-11-06,2.69
2019-11-07,0.74
2019-11-08,0.07
2019-11-09,8.26
2019-11-10,1.21
2019-11-11,5.84
2019-11-12,1.18
